Entry,Interacts with
Q15125,O95870; Q86W74-2; Q13520; Q3SXY8; Q8N6S5; Q9H2C2; Q9HD20-3; O95393; Q12983; Q8WVV5; P06681; O14523; Q8WVX3-2; P01031; Q6UWT4; Q9P0B6; Q8NHW4; P25942; Q07108; P60033; O14735; P23141-3; Q9H9P2; Q8NHS1; O43889-2; Q96BA8; P49447; O43169; P78329; P81534; Q9H1M4; Q96LL9; Q15125; Q08426; Q9BV81; P54849; Q9UKR5; Q9Y282; Q7L5A8; Q5JX71; Q96IV6; Q9UGM5; Q9Y3D6; Q14318; Q9BWH2; Q14802-3; Q9H0Q3; Q8WWP7; Q96F15; P29033; O95452; O14653; Q8TDT2; P02724; P30519; Q7Z5P4; Q9Y5U9; Q9Y5U4; Q8N5M9; Q5T700; Q68G75; Q7L5N7; Q7Z4F1; Q96AG4; Q16873; Q6ZSS7; P50281; Q5J8X5; Q9UHE5; O95167; Q9NX14; Q99519; Q92982; Q9NZG7; Q16617; Q8IXM6; Q2M2E3; Q9P0S3; Q53FV1; Q8N138; Q7RTS5; Q9Y342; Q04941; Q8IY26; Q01453; P54315; P43378; P15151; Q8N8N0; Q5QGT7; Q96GQ5; Q9NTJ5; Q969E2; O75396; Q9Y6X1; Q8N6R1; Q9BWM7; Q8TD22; Q8IWU4; Q96G79; Q2M3R5; Q9NVC3; P08195-4; Q96JW4; Q6P1K1; Q0VAQ4; Q9NRQ5; B2RUZ4; Q9BZL3; Q6UX34; Q86Y82; P61266; Q13190; O43752; O15400; Q9UNK0; O43759-2; P57105; Q8N2H4; Q96BZ9; P07204; O14925; Q96CP7; Q96MV1; P55061; Q9NV29; P17152; Q9BXJ8; A0PK00; Q9NV12; Q9BVK8; Q9NUH8; Q9P0S9; Q9NRX6; Q8N511; Q969S6; Q9BTX3; A2RU14; Q9H0R3; Q8NBD8; Q8WW34-2; Q9NWH2; Q9BU79; Q8TBM7; Q69YG0; Q9NW97; Q9H2L4; Q6PI78; Q8N2M4; Q8N661; Q5BJF2; Q9NSU2-1; A0AVG3; Q5TGU0; A5PKU2; Q9Y385; Q9Y5Z9; Q53HI1; Q9H1C4; Q9NZ43; P23763-3; P63027; Q15836; O75379; Q9P0L0; O95292; O95070; Q9Y548; Q9BSR8; Q96EC8; Q6UX98; O95159
O95433,P30793; P07900; P08238
P14778,P09619; Q9Y4K3
Q14693,Q9UBB4; P09172; Q01658; P21333-2; P01100; P50440; P14136; P62993; P28799; Q00403; Q9Y5Q9; Q00613; P04792; P42858; Q8WXH2; O60333-2; Q8N2W9; Q9Y3C5; P12931; O76024
P20701,P05362; P08575; PRO_0000037551 [Q9WMX2]
O60763,Q99996-2; Q9UNI6; Q8IUZ5; Q9UIA9; P0DTC9
P08684,O15287; Q6ZQX7-4
O60603,P61073; P00533; Q99836; C3PTT6; Q15399; Q9BXR5; O60603; Q9Y2C9
P01579,P15260; Q66793
O60934,Q13315; Q09472; Q9BXW9; P16104; Q68E01; Q14676; P49959; O75943; Q99708; Q96EB6; Q13428; Q99986
