Entry,Interacts with
Q6UY14,P07858; O75716; P09022; P28301; O43184-4; Q6UY14-3; Q6ZMM2-2; P31749; P05187; Q9Y4X0; Q9Y4X0-3; B3KTP4; Q9BWW8; Q9BZE9; Q7Z3C6-3; P54252; O95429; Q9H503-2; P23560-2; A0A087WZT3; Q0VDD7-2; P55212; Q8NEC5; Q13185; Q8TAB7; P06307; Q8IYR0; Q9Y6H1; Q8IWX8; Q9UKJ5; Q9H2X0; P43681; P07510-2; A5D8T8; Q9UBL6; Q9UBL6-2; Q02930-3; P02511; P09228; Q96SQ9; A8MQ03; Q9BY27; Q14689-6; G5E9A7; Q96T75; O95967; O60573; Q9UM22; P19447; Q9NQT4; P16930; Q9H5Z6; O95363; Q96EF6; Q969U6; P22607; P68106; P21333-2; P01100; O43559; P04406; P23769; P50440; P09681; Q8IVS8; Q8NEA9; Q9Y223; Q9Y223-2; Q9P2W3; Q0D2H9; P62993; Q14957; P28799; P06396; P09211; Q96NT3-2; A0A024R8L2; V9HW60; Q96MH2; P14210; P49639; P31273; Q9H2F3; P07900; P04792; P01308; Q92551; P05107; P16144-2; Q15040; Q96MP8-2; Q7L273; O60333-2; Q2WGJ6; Q07627; Q9BYS1; P60412; P60370; P60410; P60411; P60328; Q3LHN2; Q3LI59; Q9BYQ6; Q9BQ66; Q9BYR5; Q9BYR3; Q701N4; Q6L8H2; Q6L8H1; Q6L8G9; Q6L8G8; P26371; Q3LI66; Q9BYQ4; Q9BYQ3; Q9BYQ2; P13473-2; Q5T7P2; Q5T7P3; Q5T751; Q5T754; Q5TA79; O14633; Q5TA81; Q5TA82; Q5TA76; Q5T5A8; Q9BYE3; Q5T5B0; Q5TA78; Q8TCE9; A0A0S2Z5S9; P25800; P25791; P25791-3; P61968; Q8TBB1; Q17RB8; Q6PJG9; Q8WV35; Q96A72; O60336; Q9UJV3-2; Q13064; Q6PF18; Q8WY64; Q8N6N6; Q86SG6; Q8NI38; Q9GZQ4; P0DPK4; Q92570; Q96HA8; P34130; Q7Z417; Q96PB7; P32242; Q92824-2; Q7Z2X4; Q13526; Q16512; Q9NRQ2; D3DTS7; P28340; O15160; Q12837; O43741; A6NJB7-2; P43115-12; Q8WUK0; Q15274; Q9Y2K5; Q8WUD1; P62826; Q96PM5; O15211; Q9H4E5; Q9Y3C5; Q86WX3; Q06455-2; Q9BWG6; Q9NUL5; Q9NUL5-4; Q86YT5; Q9UHI7; Q9NP91; O75093; Q92922; Q6RVD6; P20155; Q7Z699; O43609; O75716; Q92537; Q15560; Q7Z6R9; P01137; Q8TBB0; Q86TG1; O95985; Q8IWZ5; Q15654; Q96PN8; Q9UK80; Q6EMK4; O95231; Q2TAL6; O76024; A2RRC6; Q9Y3S2; Q96IQ9; Q8TAU3; Q96SQ5; Q53FW8
Q9Y5L0,Q13867; Q13554-3; Q13557-8; Q13555-5; Q16740; O75521; P30793; Q8NDH6-2; O95678; P60410; Q6FHY5; P15531; Q8WVI7; Q16385-2; Q9Y5L0; PRO_0000042447 [P04585]
Q96BD6,P54922; P55212; P06307; P02489; Q6V0L0; O00291; P30519; O60341; P13473-2; Q13153; Q96IZ0; P16284; O60260-5; Q99873; Q96LA8; P62826; Q9Y3C5; O95863; O43463; Q13148; P61086; P08670; O00534; P09052
Q6EBC2,Q96HA8
P14635,Q9NPC3; P06493; P46527; O75618-1; Q99640; Q13635; P61086; Q96PU4
Q6PD74,O43747-2; Q96PC3; Q96PC3-2; O94973; P53680; Q96ES5
B0YJ81,Q7Z7G2; Q13651; Q96K19-5; Q9NZ01; Q9BVX2
Q16665,P10275; P27540; P49407; Q9C0J9; O00257; Q92793; P35222; Q96CJ1; Q9GZT9; Q96KS0; Q9H6Z9; Q09472; P11474; P09467; P23771; Q9NWT6; Q92831; Q13330; P46531; Q13438; Q8N2W9; P14618-1; P25789; Q9UHD8-1; P84022; P08047; P63165; O94888; P40818; P40337; P17861; Q99PV5; Q5RIX9; Q6S7F2; Q61539; Q8BIF2; P51450-2
P42229,Q99490-2; P00533; P18031; Q99081
P11413,P11413; P04792; Q8IXJ6
P01112,Q99996-3; P53677-2; P10398; Q9NXL2-1; Q9UII2; Q9H7T9; Q00994; Q9H2G9; P15056; Q7Z569; Q5PSV4; Q9ULD4-2; Q96LL4; Q96HB5; Q49A88-3; Q96GN5-2; P24941; O95674; Q9H3R5; Q9Y4F5-3; Q86XR8; Q494V2-2; Q8WUX9; Q14117; Q9Y6W6; O14641; A0AVK6; Q8NB25; Q8IZU1; O94868-3; P15407; P15408; P52655; Q96CS2; Q9BT25; Q8IV36; O43248; Q53GQ0; P10809; Q8NDH6-2; Q8IY31-2; Q8NA54; Q13352; P28290-2; Q9BVG8-5; Q2M2Z5; Q6P597; P57682; Q9UH77; P08727; Q14525; Q14847-2; Q96LR2; P27338; Q99558; Q96EZ8; Q8TAC0; Q5JXC2; Q8NEH6; Q9Y605; Q96HT8; Q9GZM8; P21359; Q8N5V2; Q6PHZ7; Q9BZ95-3; A5D8V7; O43482; Q9BR81; O15534; Q9BUL5; O00329; O00329-2; Q9UPR0; Q96I34; Q15435-3; P04049; P11233; Q15311; Q12967; Q9NS23-2; Q9NS23-4; Q8WWW0; Q8TBY0; Q9P2K3-2; Q9NZL6; Q8IXN7; Q13671; Q13671-1; Q8WVD3; Q9BY12-3; Q13435; Q12824; Q13573; Q07889; Q86W54-2; Q92783-2; O75886; Q13586; Q8N4C7; O75528; P54274-2; Q9BXU0; Q5T0J7-2; Q5T1C6; Q8IUR5-4; P36406; Q86WT6-2; Q99598; Q6PF05; Q9UGJ1-2; Q9Y5Z9; P22415; Q495M9; Q9H270; Q8NEZ2; P19544-6; O43829; Q9C0F3; Q7Z637; Q86V28; P42337; Q9Z0S9; Q9EQZ6; P27671; Q5EBH1; Q5EBH1-1; P52306-5
Q9HCE1,P35226; O95503; O95931; Q9HC52; P19525; P35227; Q01085; Q8VDS3; P0DTC9; P0C6L3
Q07108,P27449; Q6PL45-2; O95832; Q15125; P21145; Q9NZG7; Q01453; Q9NS64; P21453; Q8TB61; P0DN84; Q8WZ59; Q5TGU0; O75841
Q8TDQ0,P13688; Q96IW7; Q8N2M4
Q9UBL0,Q7Z699
Q86TI0,Q8NEU8; Q8N715; Q2TBE0; Q5JST6; Q3B820; Q9Y247; Q96IK5; P31273; O75031; O95678; Q96JM7-2; Q68G74; Q8TBB1; Q9Y250; Q96EZ8; Q96T60; Q13671; Q96C24; Q15560; P02585; Q3SY00; P40222; Q8N1B4; Q6P2D0
P05107,P00519; Q6UY14-3; Q9BQE5; A8MQ03; Q3SYB3; P20702; Q14145; Q15323; P60410; Q8TAF8; Q9GZW8; Q9H2K0; Q7Z3S9; P0DPK4; P35241; Q9UN30-2; Q15582; Q9Y4G6; Q96CE8; O75841
Q9Y4W2,PRO_0000037309 [P0C6X7]
O94992,O60563; P50750; O94992; Q96MH2; Q4G0J3; Q15554
P08133,Q14005-2; P10636-8
P08581,P22681; Q96EY1; Q96EY1-2; P00533; P09769; P14210; P14210-6; O15357; P35968; P06239; P07948; P08581; P41218; P15941; P16333; O43639; Q16288; P27986; O00459; Q92569; P19174; O43157; O15031; Q9ULL4; P18031; Q06124; P23467; Q12913; Q16827; P20936; Q9UQQ2; O60880; O14796; Q9NP31; Q8N5H7; Q15464; P29353; P98077; Q6S5L8; Q96IW2; Q9H6Q3; O75159; O14544; P12931; Q9ULZ2; P43405; P42680; Q9HBL0; Q63HR2; Q68CZ2; Q9UKW4; P07947; P43403; Q08048; P0DQD2; P35918; Q00944
Q9NWH9,P23508
P15151,Q15848; Q86W74-2; Q96PS8; Q6PL45-2; Q15762; Q08722-3; Q8N6F1-2; Q4LDR2; Q8NBI2; A8MQ03; Q15125; P56851; Q9NZD1; Q9HCP6; P49639; Q9Y5U4; Q07627; Q8IUG1; P60409; P60410; P60411; Q9BYR8; Q9BYR6; Q9BYQ3; O43934; Q92982; Q9NZG7; Q7Z3S9; P0DPK4; Q6UX06; P0DJD7; Q04941; Q8IY26; Q96GQ5; O00767; P11686; Q9BRI3; Q969S0; Q96JW4; B2RUZ4; Q5SQN1; Q8N2H4; P59542; Q495A1; Q9BZW4; P55061; Q9BVK8; Q8NBD8; Q969K7; Q6PI78; Q9BSE2; P30536; Q5BVD1; O95183; Q96MV8; Q8N966; O95159; Q8K4F0
P62937,P05067; P35613; Q00535; P46108-1; O43614; Q8TBB1; O75376; Q16849; P62841; O00267; Q72497; P0DTC9; P59595; PRO_0000037309 [P0C6X7]; PRO_0000045602 [Q99IB8]; Q66PJ3-4; Q14032; Q6PH81; Q8TAP6; Q96NE9-2; Q06547-2; Q06547-3; Q9NWQ4-1; P52597; Q02363; Q8N5Z5; Q9H8H3; Q9BRX2; P07225; Q13573; P56693; Q13586; Q13033-2; P15884; Q9UJA5; Q9NZC7-5; Q53FD0-2; Q15776; Q8N0Y2-2; O15535
Q9BQ51,P27449; Q7Z2K6; Q8N3T1; O60883; Q86UP2-3; Q7Z4F1; Q6ZSS7; Q15116; Q96GQ5; Q9NQQ7-3; Q9H2H9; Q9NVC3; Q96JW4; P30825; Q9BZL3; Q9NYW0; Q9BVK8; A2RU14; Q8WW34-2; Q5BJF2
Q9NQB0,P35222; Q9UER7; Q14526; Q13761; Q9UKE5; Q93009; P12956; Q9NP55; Q5BKX5-3; Q9BYD5; O43186; A8MQ03; A1KXE4-2; Q08379; Q5TA45; P14923; Q3LI72; Q3SYF9; Q3LI59; Q3LI64; Q3LI66; Q8IUC3; P35548; Q9UF11-2; O43741; P86480; Q53HV7-2; Q08117-2; Q13077; Q86WV8; Q6NVU6
P60880,Q16623; Q8IUH5; PRO_0000449622 [P0DTD1]; O14810; P42858; O75558; Q8N4C7; Q16623; Q9BRT2; Q13360-2; P32851
O60930,Q12797-6; P50402; Q92520; P62166; Q8IXM6; P17152
P13489,P03950; P07998; O00560; O76024; P61823
Q6RSH7,Q15038; Q93062; Q93062-3; Q08AM6; O95231
Q5T4W7,O60609
Q00987,P31749; P10275; P49407; Q9Y297; P42574; Q8N726; P48729; P48729-2; P48730; P49674; Q13616; Q9UER7; P78352; P68104; P03372; P15311; Q9UKB1; Q00688; Q9BVP2; Q9NVN8; Q5T7V8; P25098; P61978; Q8N9B5; P05412; P17535; Q00987; O15151; P19338; P06748; Q15466; P49757; Q96FW1; P53350; P29590; P29590-5; O15297; Q13362; P25788; P61289; Q9NS23; P06400; Q6PCD5; Q9Y4L5; P62913; P62829; P46777; P42677; Q71UM5; P23396; P62081; Q7LG56; Q7LG56-1; Q8N488; Q92736; P23297; P29034; P26447; P06703; P04271; Q01105; P04637; O15350; P0CG48; O75604; Q93009; P29067; Q06486; Q62446; Q61937; PRO_0000283876 [P0C6X5]; Q2HR73; Q6P5F9; Q6PCD5
P09326,Q9BZW8
Q86XR7,P50222; Q96HA8; Q6SZW1; O00206
D3DTF8,Q92870-2; P28329-3; G5E9A7; P22607; O15354; P28799; P28799-2; P06396; P04792; O60333-2; D3DTS7; Q9Y3C5; Q7Z699; Q9UMX0; O76024; Q9Y649
P01562,Q9UHD9
P63241,O43186; P49366; O15499; P52954; A8MW99; P50222; Q6FHY5; Q9NRD5; Q04864; Q04864-2; O00560
O75369,P21333; O75369; P62993; P05161; Q13233; Q9Y6R4; P16333; P63000
Q96I51,Q92993; Q8TAP4-4; O75414; Q15047-2; P61981
P17693,P17693; Q8NHL6; Q8N423; P17693-2; Q8N423; Q8N423; Q8N423
P23528,P60709; P63261; P54253; Q549N0; P00533; P57058; P53667; Q96CV9; Q13393; O14939; Q1KLZ0; Q8WYL5; P63104; P0DOE7
Q93034,O95376; Q9Y576; Q96Q27-2; Q9NWX5; Q9H672; Q9NPC3; O95273; Q9Y2V7; P04626; Q08379; P42858; Q5T7N3; P62877; Q9UBF6; O14508; O41974; P12504
O00501,P29972; Q6UX41-6; Q9P0B6; A0PK11; Q9BT09; Q9Y5Q5; P40313; Q07325; Q8NBI2; P52803; Q08426; Q9UKR5; Q7Z2K6; P02724; O43561-2; Q8TAF8; P30301; Q04941; Q96GM1; Q01453; Q9NS64; P11686; Q13326; Q969S0; Q9BZL3; Q9NZ01; P02787; Q5BJH2-2; Q9NV12; Q9P0S9; Q6ZP80; Q8WZ59; Q9H0R3; O60636; O95183; Q9Y548
Q14686,P10275; Q9UBL3; Q92793; Q9UMN6; Q8NEZ4; P46934; P06400; Q12888; Q12888-1; P61964
Q9NZQ3,Q9UQB8; P06241; O00233; O60504; Q60437; Q9Z0W5; Q9QY17; Q9NYB9-2; Q96FN4; Q9H0I2; O60861-1; P56470; Q71SY5; Q8IVT4; O43639; Q13526; Q99959-2; Q9BUI4; Q8WWY3; Q9UIG4; Q9NW64; Q96R05; P09234; Q99469; Q7Z6J9; Q14119; Q9UFB7; Q53FD0-2
P80098,Q9UMX0; Q9UMX0-2; Q9UHD9; Q2F862; P98066
O95365,Q9NRL2; Q12873; Q9HCK8; Q8WXI9; Q13547; Q8IX15-3; Q07666
Q9UII4,P03495
P55273,Q6P1W5; A4QMS7; P30281; P11802; Q00534; Q9UFW8; Q13363-2; Q96D03; Q8WW35; Q04637-9; Q86W67; Q9NVL1-2; Q8WXI9; Q49A26-4; Q9H8Y8; O15499; Q9BPX1; Q9UKT9; Q0VD86; O95678; Q8TBB1; Q17RB8; A8MW99; Q6FHY5; Q4VC12; Q9Y483-4; P17568; Q9GZT8; O00746; P22736; F1D8N6; P43354; Q92570; Q9NRD5; P30044; Q96LW4; P25786; Q04864-2; Q6ZNE9; Q8IYX7; O00560; Q9NVV9; Q3SY00; Q9BRT2; Q99990; A0A0C4DGF1; Q96N95-3; Q6ZNG0; P0C7X2; Q6NX45
Q8WXG1,P02654; P55056; O76071; Q6NTF9-3; Q9P0L0
P35658,Q9UMR2-1
Q08380,Q9BZR8; Q9NRD1; P20591; Q9Y3Z3; O00220; O95183; P40337-2
P55290,P42858
P01920,P01909
Q9Y2C9,O60603; O00206; Q9Y2C9
Q9NZ43,Q9BQE5; Q13520; J3KQ12; Q9BXU9; Q6NSX1; Q9NUG4; Q15125; Q8N5M9; P50222; Q5SR56; Q9NY72; Q9P2W9; Q16623; Q12846; Q8N661; P14373
Q9H3S7,Q96LK0; Q53EZ4; Q9H444; O75791; P62993; Q7Z3S9; O75340; P25788; Q05397; Q99962; P14373; Q99816; O89100
P43004,P42858; P10636
O00182,Q15038
P05771,Q8NEM2; Q9BSI4; O60341-1; Q6DHV7-2; Q9UQM7; Q6ZQX7-4; O60346; Q6ZVD8
P26599,Q15365; Q96PU8; P98175; P23246; P09012; Q7ZYE9; PRO_0000037940 [P29991]; PRO_0000308465 [P29991]; P98175; Q13148
P49767,P35916; P35968; Q96EQ0
Q13451,Q96Q40; P50750; O15111; P00533; P07900; P08238; Q6VAB6; P10636-8; Q9BTE3-2; P00540; Q15831; Q70CQ1; PRO_0000037552 [Q9WMX2]
P24001,Q6NTF9-3; P49715; Q05655; P24001-2; P24158
C6GKH1,Q05655; Q02156
P09429,Q15109; Q6RW13; P05067; Q14457; O95273; Q00839; P42858; P08729; P43246; P09874; Q96T23; P84103; P04637; Q96B54
P11532,Q9UBT7; Q9Y4J8; O60941; O60941-5; Q96CS2; P41235-3; P08727; Q9NRD5; Q13424; Q13884; Q13425; Q01484; Q3T1J5
P09382,Q13740; P02649; P27797; P30203; P36957; P35968; Q8TDX7; P16284; P08575
Q12967,P01112; P61224; A8MQ03; P49639; P60410; P61224
P01282,P27487; Q12884; O43765; Q9UI47-2; P10620; Q9UHD9; P32241
P35637,P46379-2; O75815; Q13191; P48730-2; Q9NRR4; O60739; Q09472; Q01844; P35637; Q05586; P49841-2; Q92993; O15479; Q96FW1; Q9BYU1; Q15149; Q99873; Q99873-3; Q9UKA9-2; Q9UKM9; P38159; Q04206-3; Q9BUL9; P19793; Q8N488; Q15424; P60896; Q8NHS9; Q92804; Q13148; Q92973-2; Q9H3D4; P18206-2; P45481; P97801
Q13324,P06850; Q969E3; Q13021
Q96FA3,Q6ZS10; Q8N137; O14653; P42858; Q15735; P51617; Q9NWZ3; P80188; P02545; Q13442; D3DTS7; Q9H426; Q9H3D4; Q15645; Q08AM6; Q9Y3C0
P02649,Q9UIJ7; Q06481-5; PRO_0000000093 [P05067]; Q9HBG4; Q9NUB4; Q16543; P08603; Q9UBD9; Q8IUW6; P26441; Q9H6J7-2; Q9H816; Q9BQ95; Q9Y6C2-2; Q3SYB3; Q8IY40; O75409; P00738; Q9BYZ2; P01130; P09382; Q07954; Q14114; Q14114-3; P11137-4; P10636-6; Q9Y3D2; P02795; Q53EL6; Q9NS23-4; P52756; Q6ZNA4-2; Q8WTV0-2; P37840; Q8IUW3; P50502; O75069; Q13829; Q9NZC2; Q6PID6; Q8TBC4; Q9NYH9; P17028; PRO_0000037570 [P27958]; P10636
Q9Y458,P54253; P54252; P31273; P42858; P78337; Q99697-2; O75360; Q13148; O43711; O95231; Q5VVQ6
Q9UQC2,P11117; P00533; O75791; P62993; A0A024R8L2; P42858; Q06124; Q8WZ73-3; P08865; P31946; P62993-1
P10144,P14222; P10124
P18510,Q9NYB0
Q14954,P10321
B4DJ51,P58397; Q92624; O94983-5; Q6IPM2; Q9H0B3; A2RRC9; A0JP07; Q8NCR3
Q8N4G2,Q8N8R7; Q86VI1
P25106,P37288; P61073
P09874,Q8IW19; Q7Z2E3; P42574; P49715; Q86WJ1-1; P26358; Q01094; P11308; P09429; Q13007; Q9Y530; P09874; Q8N2W9; P46063; Q9NTX7; Q14684-1; O95863; P63165; P04637; P0CG48; Q14191; P18887; P54577; Q2M1K9; Q02085
P01270,Q12797-6; Q03431
Q9NR97,Q9NR97-1
Q96E93,Q3SXY8; O15529; Q8TED1; P26715; O95214; Q6IN84; P16284; Q8N205; P37173
Q9UHD0,Q6UXL0
P43627,P10321
Q15054,P12004; P49005
Q9UBU9,Q86V81; Q9H7T9; Q9BYV9; Q14457; Q9NQY0; Q13490; Q13867; B2RXH4; Q5SWW7; Q86WS4; Q13555-5; Q96HB5; A0A1B0GWI1; Q8NCU1; Q96M83-3; Q8N8U2; Q9Y3Y2; P49760; P49761; O00571; Q08211; Q92997; Q9BQ95; Q96DF8; Q8IZU1; Q9C0B1-2; P14136; A6NEM1; Q86WP2; Q9BX10; P49639; O75031; Q9ULR0-1; Q9H079; Q96MP8-2; Q6A162; Q5T5B0; O95751; Q8WWY6; Q9UJV3-2; Q6NTE8; Q5JR59-3; Q6ZUT1; O00746; P37198; Q9UKK6; Q8WWB5; Q9BZL4; P31321; P41219; P79522; Q96P16-3; Q9NR46; Q8ND83; Q13573; Q9H0A9-2; Q07955; P84103; Q16629; Q8IZU3; Q9P2M4; Q8TDR4; Q8N6V9; Q9Y2W1; Q96CG3; Q13829; Q13625-3; Q9UMX0; Q9UK41-2; P15622-3; Q6P1L6; Q7Z4V0; P10238; P22575
Q9UIQ6,Q969F0; Q04864; P15884; Q9H2K2; Q13520; P07307-3; Q99675; P78358; Q96KR6; Q969F0; Q9UJ14; O15529; Q8TED1; Q8NBQ5; P80188; Q8TAF8; Q8N4V1; Q9H6H4; Q7Z769; Q9NUM3; Q8WWF3; P27105; P59542; Q96MV1; Q53FP2; Q9UMX0; Q86WB7-2
Q9NRW3,Q9Y3Y2-3; Q03014; P61978-2; P79522; P38159; P0DJD3; Q15415; Q96RU7; P15622-3; Q9H9D4; Q96MX3; Q9P0T4
P78423,P05556; P05106; P69332
Q9UBF6,Q93034; Q9Y6K9; P12004; P12504
P07996,P02751; Q15113; P01137; P16671; Q92743
P01106,Q9UBB4; O15169; O00499-10; O00499-11; Q15059; P55212; P45973; Q8N163; P06307; A5D8W4; P11802; Q86XR8; P28329-3; Q14839; O15111; Q8TCG1; Q01658; Q15029; Q96L91; Q96L91-2; Q969H0; Q8N3Y1; P22607; O43524; P49841-2; P06396; Q00403; Q9Y5Q9; Q92769; O15379; Q9Y6K9; O60341; O00629; P13473-2; P61244; O95983; P33993; A9UHW6; O75928; Q13526; O75400-2; P62913; Q9Y371; O75182; Q96EB6; Q8N6T7; Q13309; Q8TAD8; P08047; P31948; Q13148; P37173; P11387; Q14669; Q9Y4A5; P0CG48; Q9UMX0; P17480; Q13105; Q9Y649; P03129; P04020; P06788; P03204; P52164; Q62141; P03070
Q14901,P63208
Q7Z417,Q6UY14-3; A2BDD9; P49747; A8MQ03; G5E9A7; O95967; Q9NQ30; Q9UBX5; Q5TD97; Q9BTY2; Q9UN86-2; P28799; P42858; O60333-2; Q5T749; Q15323; O76014; Q8IUG1; Q9BYS1; P60370; P60409; P60410; P60411; Q8IUC1; P60328; Q9BYR9; Q9BYR7; Q9BYR6; Q9BYQ7; Q9BYQ6; Q9BQ66; Q9BYR5; Q9BYR3; Q9BYR2; Q6L8G4; Q701N4; Q6L8H2; Q6L8H1; Q6L8G9; P26371; Q9BYQ4; Q9BYQ3; Q9BYQ2; Q9BYQ0; Q5T7P3; Q5TA81; Q5TA82; Q9UHV8; Q99750; A6BM72; P07196; Q99435; Q92824; Q92824-2; Q5VY43; O15162; P30044; Q9UGC6; P49795; O76081-6; Q7Z699; Q13077; O76024
P50750,Q13535; Q8WXE1; O60885-1; O60563; O60583; O60583-1; O60583-2; Q16543; Q9HAW4; Q13451; O94992; P07900; P08238; Q6NYC1; Q4G0J3; P53041; P40763; P04608; P28799; P28799-2; Q6XYB7-2
P78556,P13501; P48061; P02776; Q15311
Q9H2X3,Q9BYF1; Q8IY31-3; Q8IY26; P0DTC2
P46108,P00519; P42684; P51825; Q96P48; A7KAX9; O15085; Q9ULH1; O43150; Q8TDY4; Q96DX5; P54253; P56945; Q9NZM4; O43683; Q6P1W5; P22681; Q13191; Q9P1A6; Q14185; Q8IZD9; Q9H7D0; Q7L190; Q86Y01; P00533; P41970; P21860; Q96Q35-2; P21333; Q14315; P36888; Q13480; Q9H706; P42858; O15357; O14654; P10721; Q92918; Q9Y4K4; P20774; P16234; P27986; O00459; Q92569; Q8ND30; P62333; Q05397; P29074; Q13905; Q8TB24; Q8IYX7; Q9UPX8; O60493; Q07889; Q07890; Q96T58; Q9NYB0; Q05BL1; P42681; Q70EK8; Q9BRX9; O40931; P00533; P62937; Q13905; P54253
O43159,Q92997; Q6FHY5; Q9NRD5; Q96EB6; O43463
P42772,Q9UI12; P24863; Q00537; P11802; Q00534; Q6P9H4; Q0VD86; P43364; Q9GZT8; Q9NRD5; Q53H96; A6ZKI3; Q9BVN2; Q9NZD8; Q13077
Q8NBP7,P07355; P01130; P08253; P01130
Q8NEV9,O75462; Q14213
Q53HV7,Q9UJX2; O43186; Q93062; P12757; Q08AM6; Q5SWW7; A8MQ03; Q8WU58; Q8IVS8; Q13227; P52597; Q0VD86; Q7L273; Q96G42; Q52LG2; Q3LI76; Q6PEX3; Q3LI66; Q8IUC2; P25791-3; Q15345; Q9HC98-4; Q86UR1-2; Q96CV9; Q9HBE1-4; Q9UBV8; Q99697-2; Q7Z3K3; O43741; O75360; Q9NZ81; P0CG20; Q93062-3; Q96GM5; Q53HV7-2; Q99932-2; Q9NQB0-10; Q96M29; Q92734; Q01085-2; O75865-2; Q08AM6; O95231; Q15915
Q92854,O43157-1; Q92854-1
Q13224,Q9UQM7; Q12959; P78352; Q05586-1; Q62936; P31016; P62139
P09601,Q13520; Q3SXY8; P11912; O75208; Q7Z7G2; Q9BUF7-2; P49447; Q53TN4; Q9GZR5; Q9NYP7; Q9H5J4; Q9Y282; Q8TBP5; Q5JX71; Q96KR6; Q8TDT2; Q8N5M9; Q15800; Q13113; Q9NUX5; Q9BY50; O60669; Q16623; Q96MV1; Q96DZ7; Q9NUH8
Q96DI8,Q8N6L0
Q9NZQ7,P33681; Q8IZR5; Q9NX76; Q15116; Q15116
P16619,Q99735; Q96EQ0; Q96GZ6; Q7Z7N9
Q13469,P16220; Q5S007; Q08209-1; Q9UPT9; Q86Y07-1; Q86Y07-2; P05412
Q14511,Q8N9N5; O75815; Q15742; P25963; O75381; P86479; Q93062; Q04864; Q8HWS3; P14373; Q15654; Q49AR9; Q8N9N5-2; Q5BKX5-3; O14613; Q7L190; Q96B26; Q5T9C2-3; A1KXE4-2; P53539; P49639; Q0VD86; Q9BS75; Q14532; Q68G74; A0JLT2-2; Q15742; P25963; P0DPK4; Q92569; Q96QH2; Q8HWS3; O60806; Q12933; P36406; Q9NZC7-5; P36508
Q9P2Y5,Q07812; Q14457; Q8NEB9; Q6NUQ1; Q92622; Q9Y371; Q96AX1; P0DTC3; Q9QUM4
Q13155,Q12904; Q12904-2; P05067; O75934; Q0VDD7; Q13895; Q8TAB5; Q8NA61-2; Q494R4-2; Q96L14; P14868; Q9NRI5-2; Q8IYI6; Q13643; Q96AE4; P13807; Q15046; Q15046-1; Q15323; Q14525; O76011; O76013-2; P25791; P25791-3; Q8TBB1; Q9NYP9; Q9GZM8; Q7Z6G3-2; Q96HA8; P22061; O15212; Q9H8W4; P54646; Q15276; P0C264; O95391; Q8TC71; Q8WWU5-7; Q9NYB0; Q9BXU0; Q9UBB9; P04637; A0A0S2Z6H0; Q8N5A5; Q8N5A5-2; PRO_0000038593 [P04591]
O15519,Q92851; Q14790; Q13077; Q14790; Q14790-2; Q02750; O14733; Q92851-4
Q9Y2P5,Q6FHY5
Q04206,Q9NY61; P18847-3; O60885; P55212; P06307; Q96JB5; P28329-3; O15111; Q8N668; Q92793; P52943; P35222; Q9UER7; Q08211; Q9H9B1; P03372; P22607; Q99684; P06396; Q13547; P46695; O14920; Q13568; Q9Y2K7; Q14145; Q99612; P13473-2; P25791; Q9BQ69; P53779; O00255-2; Q16236; P19838; PRO_0000030311 [P19838]; P25963; Q15653; P22736-1; Q96L73; O15294; Q53EL6; Q8N2W9; P67775; P30153; O75400-2; P62826; Q04206; P23396; Q8WTS6; Q96EB6; Q8IXJ6; Q8N6T7; O95863; O15524; P40763; Q13148; P21980; Q13625; Q13625-2; P0CG48; Q9UMX0; Q9UBK9; Q9Y649; Q9ESU6; O41974; Q8VIM5-1; Q8X834; B3CRR2; B3CTB0; P0C774; P69976; P10226; P31491; A0A384KL23; A0A380PFV1; Q9NPC8; Q8VIM5-1; P25963; Q04864; Q01201; P35637; Q04864; P15884
Q96CP1,Q96DX5; Q8N9N5-2; Q6FHY5; P78424; Q8WWV3; P51687
O00233,Q9UHI8; O43865; Q8N9N5; Q96JN2-2; Q5SZL2-5; P0DML2; P09651-2; P08887-2; P03952; P06858; Q6FHY5; Q9NZQ3; P17980; P62333; P62263; P15923-1; Q12933; Q9HCM9; Q8IWZ5
Q14643,O43865; Q9HD36
Q9NV58,P00441
P98160,P35968; P17948-2; P35968; P17948-2; P35968
Q02246,P05067
Q92581,P15260
P02689,O95273
P11245,Q13315; O95243-2; Q06609
Q6N069,P41227; P14136; D3DTS7
Q9H2H9,Q86WK6; Q13520; O95393; Q86Z23; P11912; Q969F0; O15552; Q8TDT2; O15529; Q14416; P24593; Q01638-2; Q9BQ51; O15173; Q01453; Q9NS64; O95968; Q9NY72; Q8N6R1; Q14973; Q3KNW5; Q9UKG4; Q9BZL3; Q8WWF3; P0DN84; Q9H2L4; Q6ZT21; A5PKU2
P01241,P10912
O00459,P10275; P22681; P46108; G5E9A7; Q8WWB3; P00533; P04626; P21860; Q13480; Q08379; P62993; P42858; P08069; Q9UKT9; P10721; P19012; P35900; O76015; P08581; Q96HT8; P42336; P42338; Q6NUQ1; Q7Z699; P36406; P03496; Q82506
P19338,Q9Y6D6; P49407; P32121; PRO_0000005794 [P39060]; Q00987; P35579; P19338; Q9UQ80; Q06710; P61586; P04637; P63104; Q9CR42; Q8AZK7; PRO_0000037577 [P27958]
